name,province,district_city,kab_kota,country,coordinates_latitude,coordinates_longitude,current_ts,current_condition,current_humidity
Banda Aceh,Aceh,Kota Banda Aceh,Banda Aceh,Indonesia,5.54167,95.33333,18/03/2020 05:00,Broken clouds,56
Langsa,Aceh,Kota Langsa,Langsa,Indonesia,4.4683,97.9683,18/03/2020 16:00,Broken clouds,56
Lhokseumawe,Aceh,Kota Lhokseumawe,Lhokseumawe,Indonesia,5.1801,97.1507,18/03/2020 16:00,Rain,66
Sabang,Aceh,Kota Sabang,Sabang,Indonesia,5.88969,95.31644,18/03/2020 16:00,Broken clouds,74
Meulaboh,Aceh,Kabupaten Aceh Barat,Aceh Barat,Indonesia,4.14402,96.12664,18/03/2020 16:00,Scattered clouds,68
Blangpidie,Aceh,Kabupaten Aceh Barat Daya,Aceh Barat Daya,Indonesia,3.73956,96.83608,18/03/2020 16:00,Rain,74
Jantho,Aceh,Kabupaten Aceh Besar,Aceh Besar,Indonesia,5.3334,95.61336,18/03/2020 16:00,Broken clouds,56
Calang,Aceh,Kabupaten Aceh Jaya,Aceh Jaya,Indonesia,4.6306,95.5754,18/03/2020 16:00,Scattered clouds,69
Tapaktuan,Aceh,Kabupaten Aceh Selatan,Aceh Selatan,Indonesia,3.28625,97.16045,18/03/2020 16:00,Rain,74
Singkil,Aceh,Kabupaten Aceh Singkil,Aceh Singkil,Indonesia,2.2874,97.7884,18/03/2020 16:00,Rain,66
Karangbaru,Aceh,Kabupaten Aceh Tamiang,Aceh Tamiang,Indonesia,4.30563,98.02709,18/03/2020 16:00,Broken clouds,56
Takengon,Aceh,Kabupaten Aceh Tengah,Aceh Tengah,Indonesia,4.6212,96.8467,18/03/2020 16:00,Scattered clouds,49
Kutacane,Aceh,Kabupaten Aceh Tenggara,Aceh Tenggara,Indonesia,3.52211,97.79625,18/03/2020 16:00,Scattered clouds,57
Idi Rayeuk,Aceh,Kabupaten Aceh Timur,Aceh Timur,Indonesia,4.93037,97.79129,18/03/2020 16:00,Scattered clouds,68
Simpang Tiga Redelong,Aceh,Kabupaten Bener Meriah,Bener Meriah,Indonesia,4.722,96.8743,18/03/2020 16:00,Scattered clouds,49
Bireun,Aceh,Kabupaten Bireuen,Bireuen,Indonesia,5.203,96.7009,18/03/2020 16:00,Clear sky,69
Blangkejeren,Aceh,Kabupaten Gayo Lues,Gayo Lues,Indonesia,3.9971,97.3384,18/03/2020 16:00,Broken clouds,56
Suka Makmue,Aceh,Kabupaten Nagan Raya,Nagan Raya,Indonesia,4.00312,96.61762,18/03/2020 16:00,Broken clouds,66
Sigli,Aceh,Kabupaten Pidie,Pidie,Indonesia,5.3848,95.9609,18/03/2020 16:00,Few clouds,66
Sinabang,Aceh,Kabupaten Simeulue,Simeulue,Indonesia,2.4803,96.3801,18/03/2020 16:00,Rain,73
Mangupura,Bali,Kabupaten Badung,Badung,Indonesia,-8.54389,115.17,18/03/2020 16:00,Scattered clouds,84
Amlapura,Bali,Kabupaten Karangasem,Karangasem,Indonesia,-8.45,115.61667,18/03/2020 16:00,Scattered clouds,84
Semarapura,Bali,Kabupaten Klungkung,Klungkung,Indonesia,-8.5346,115.4022,18/03/2020 16:00,Scattered clouds,84
Denpasar,Bali,Kota Denpasar,Denpasar,Indonesia,-8.663225,115.19754,18/03/2020 17:00,Scattered clouds,84
Bangli,Bali,Kabupaten Bangli,Bangli,Indonesia,-8.4542,115.3545,18/03/2020 16:00,Scattered clouds,84
Singaraja,Bali,Kabupaten Buleleng,Buleleng,Indonesia,-8.112,115.08818,18/03/2020 16:00,Rain,73
Gianyar,Bali,Kabupaten Gianyar,Gianyar,Indonesia,-8.5435,115.3272,18/03/2020 16:00,Scattered clouds,84
Negara,Bali,Kabupaten Jembrana,Jembrana,Indonesia,-8.35694,114.61694,18/03/2020 16:00,Broken clouds,66
Tabanan,Bali,Kabupaten Tabanan,Tabanan,Indonesia,-8.5413,115.12522,18/03/2020 16:00,Scattered clouds,84
Serang,Banten,Kota Serang,Serang,Indonesia,-6.11528,106.15417,18/03/2020 16:00,Scattered clouds,83
Tangerang,Banten,Kota Tangerang,Tangerang,Indonesia,-6.17806,106.63,18/03/2020 16:00,Scattered clouds,83
South Tangerang,Banten,Kota Tangerang Selatan,Tangerang Selatan,Indonesia,-6.28862,106.71789,18/03/2020 17:00,Scattered clouds,83
Rangkasbitung,Banten,Kabupaten Lebak,Lebak,Indonesia,-6.3591,106.2494,18/03/2020 16:00,Scattered clouds,83
Pandeglang,Banten,Kabupaten Pandeglang,Pandeglang,Indonesia,-6.3084,106.1067,18/03/2020 16:00,Scattered clouds,83
Ciruas,Banten,Kabupaten Serang,Serang,Indonesia,-6.125,106.23278,18/03/2020 16:00,Scattered clouds,83
Tigaraksa,Banten,Kabupaten Tangerang,Tangerang,Indonesia,-6.22806,106.51389,18/03/2020 16:00,Scattered clouds,83
Bengkulu,Bengkulu,Kota Bengkulu,Bengkulu,Indonesia,-3.80044,102.26554,18/03/2020 16:00,Rain,93
Manna,Bengkulu,Kabupaten Bengkulu Selatan,Bengkulu Selatan,Indonesia,-4.4651,102.90386,18/03/2020 16:00,Rain,92
Karang Tinggi,Bengkulu,Kabupaten Bengkulu Tengah,Bengkulu Tengah,Indonesia,-3.75,102.4225,18/03/2020 16:00,Rain,93
Argamakmur,Bengkulu,Kabupaten Bengkulu Utara,Bengkulu Utara,Indonesia,-3.4232,102.1891,18/03/2020 16:00,Rain,84
Bintuhan,Bengkulu,Kabupaten Kaur,Kaur,Indonesia,-4.79371,103.34836,18/03/2020 16:00,Rain,73
Kepahiang,Bengkulu,Kabupaten Kepahiang,Kepahiang,Indonesia,-3.6455,102.5712,18/03/2020 16:00,Rain,99
Mukomuko,Bengkulu,Kabupaten Mukomuko,Mukomuko,Indonesia,-2.5689,101.1118,18/03/2020 16:00,Rain,76
Curup,Bengkulu,Kabupaten Rejang Lebong,Rejang Lebong,Indonesia,-3.4703,102.5207,18/03/2020 16:00,Rain,99
Tais,Bengkulu,Kabupaten Seluma,Seluma,Indonesia,-4.07543,102.57739,18/03/2020 16:00,Rain,93
Jakarta,DKI Jakarta,Jakarta,Jakarta,Indonesia,-6.236704,106.79324,18/03/2020 17:00,Scattered clouds,83
Tilamuta,Gorontalo,Kabupaten Boalemo,Boalemo,Indonesia,0.5273,122.3463,18/03/2020 16:00,Rain,68
Limboto,Gorontalo,Kabupaten Gorontalo,Gorontalo,Indonesia,0.627,122.9778,18/03/2020 16:00,Rain,75
Gorontalo,Gorontalo,Kota Gorontalo,Gorontalo,Indonesia,0.5375,123.0625,18/03/2020 16:00,Rain,75
Siulak,Jambi,Kabupaten Kerinci,Kerinci,Indonesia,-1.94667,101.33417,18/03/2020 16:00,Rain,95
Jambi,Jambi,Kota Jambi,Jambi,Indonesia,-1.6,103.61667,18/03/2020 15:00,Rain,88
Sungai Penuh,Jambi,Kota Sungaipenuh,Sungaipenuh,Indonesia,-2.0561,101.3913,18/03/2020 16:00,Rain,95
Muara Bulian,Jambi,Kabupaten Batanghari,Batang hari,Indonesia,-1.71327,103.25902,18/03/2020 16:00,Rain,88
Muara Bungo,Jambi,Kabupaten Bungo,Bungo,Indonesia,-1.49018,102.1149,18/03/2020 16:00,Rain,63
Bangko,Jambi,Kabupaten Merangin,Merangin,Indonesia,-2.0796,102.2573,18/03/2020 16:00,Rain,77
Sengeti,Jambi,Kabupaten Muaro Jambi,Muaro Jambi,Indonesia,-1.4772,103.50765,18/03/2020 16:00,Rain,88
Sarolangun,Jambi,Kabupaten Sarolangun,Sarolangun,Indonesia,-2.3121,102.7271,18/03/2020 16:00,Rain,88
Kuala Tungkal,Jambi,Kabupaten Tanjung Jabung Barat,Tanjung Jabung Barat,Indonesia,-0.81623,103.46111,18/03/2020 16:00,Rain,75
Muara Sabak,Jambi,Kabupaten Tanjung Jabung Timur,Tanjung Jabung Timur,Indonesia,-1.13612,103.84987,18/03/2020 16:00,Scattered clouds,73
Muara Tebo,Jambi,Kabupaten Tebo,Tebo,Indonesia,-1.476,102.4435,18/03/2020 16:00,Rain,63
Pelabuhanratu,Jawa Barat,Kabupaten Sukabumi,Sukabumi,Indonesia,-6.9875,106.55139,18/03/2020 16:00,Rain,81
Bandung,Jawa Barat,Kota Bandung,Bandung,Indonesia,-6.92222,107.60694,18/03/2020 17:00,Rain,76
Banjar,Jawa Barat,Kota Banjar,Banjar,Indonesia,-7.1955,107.4313,18/03/2020 16:00,Rain,76
Bekasi,Jawa Barat,Kota Bekasi,Bekasi,Indonesia,-6.388776,106.913972,18/03/2020 17:00,Scattered clouds,83
Bogor,Jawa Barat,Kota Bogor,Bogor,Indonesia,-6.5971469,106.8060388,18/03/2020 15:00,Scattered clouds,83
Cimahi,Jawa Barat,Kota Cimahi,Cimahi,Indonesia,-6.87222,107.5425,18/03/2020 16:00,Rain,76
Cirebon,Jawa Barat,Kota Cirebon,Cirebon,Indonesia,-6.7063,108.557,18/03/2020 16:00,Broken clouds,66
Depok,Jawa Barat,Kota Depok,Depok,Indonesia,-6.4,106.81861,18/03/2020 05:00,Scattered clouds,83
Sukabumi,Jawa Barat,Kota Sukabumi,Sukabumi,Indonesia,-6.91806,106.92667,18/03/2020 16:00,Rain,85
Tasikmalaya,Jawa Barat,Kota Tasikmalaya,Tasikmalaya,Indonesia,-7.3274,108.2207,18/03/2020 16:00,Rain,88
Soreang,Jawa Barat,Kabupaten Bandung,Bandung,Indonesia,-7.03306,107.51833,18/03/2020 16:00,Rain,76
Ngamprah,Jawa Barat,Kabupaten Bandung Barat,Bandung Barat,Indonesia,-6.80361,107.27528,18/03/2020 16:00,Rain,76
Cikarang,Jawa Barat,Kabupaten Bekasi,Bekasi,Indonesia,-6.26111,107.15278,18/03/2020 16:00,Scattered clouds,83
Cibinong,Jawa Barat,Kabupaten Bogor,Bogor,Indonesia,-6.48167,106.85417,18/03/2020 16:00,Scattered clouds,83
Ciamis,Jawa Barat,Kabupaten Ciamis,Ciamis,Indonesia,-7.3257,108.3534,18/03/2020 16:00,Rain,89
Cianjur,Jawa Barat,Kabupaten Cianjur,Cianjur,Indonesia,-6.82222,107.13944,18/03/2020 16:00,Scattered clouds,78
Sumber,Jawa Barat,Kabupaten Cirebon,Cirebon,Indonesia,-6.76028,108.48306,18/03/2020 16:00,Rain,77
Indramayu,Jawa Barat,Kabupaten Indramayu,Indramayu,Indonesia,-6.32639,108.32,18/03/2020 16:00,Broken clouds,66
Karawang,Jawa Barat,Kabupaten Karawang,Karawang,Indonesia,-6.30333,107.30556,18/03/2020 16:00,Scattered clouds,78
Kuningan,Jawa Barat,Kabupaten Kuningan,Kuningan,Indonesia,-6.97583,108.48306,18/03/2020 16:00,Rain,77
Majalengka,Jawa Barat,Kabupaten Majalengka,Majalengka,Indonesia,-6.83611,108.22778,18/03/2020 16:00,Rain,86
Parigi,Jawa Barat,Kabupaten Pangandaran,Pangandaran,Indonesia,-7.7015,108.496,18/03/2020 16:00,Rain,89
Purwakarta,Jawa Barat,Kabupaten Purwakarta,Purwakarta,Indonesia,-6.55694,107.44333,18/03/2020 16:00,Scattered clouds,78
Subang,Jawa Barat,Kabupaten Subang,Subang,Indonesia,-7.1277,108.5283,18/03/2020 16:00,Rain,77
Sumedang,Jawa Barat,Kabupaten Sumedang,Sumedang,Indonesia,-6.85861,107.91639,18/03/2020 16:00,Rain,86
Singaparna,Jawa Barat,Kabupaten Tasikmalaya,Tasikmalaya,Indonesia,-7.3515,108.111,18/03/2020 16:00,Rain,88
Brebes,Jawa Tengah,Kabupaten Brebes,Brebes,Indonesia,-6.8691,109.0378,18/03/2020 16:00,Broken clouds,66
Mungkid,Jawa Tengah,Kabupaten Magelang,Magelang,Indonesia,-7.5925,110.21889,18/03/2020 16:00,Scattered clouds,74
Magelang,Jawa Tengah,Kota Magelang,Magelang,Indonesia,-7.47056,110.21778,18/03/2020 16:00,Scattered clouds,74
Pekalongan,Jawa Tengah,Kota Pekalongan,Pekalongan,Indonesia,-6.8886,109.6753,18/03/2020 16:00,Rain,71
Salatiga,Jawa Tengah,Kota Salatiga,Salatiga,Indonesia,-7.33194,110.49278,18/03/2020 16:00,Scattered clouds,74
Semarang,Jawa Tengah,Kota Semarang,Semarang,Indonesia,-6.99306,110.42083,18/03/2020 17:00,Scattered clouds,74
Surakarta,Jawa Tengah,Kota Surakarta,Surakarta,Indonesia,-7.55611,110.83167,18/03/2020 16:00,Rain,74
Tegal,Jawa Tengah,Kota Tegal,Tegal,Indonesia,-6.8694,109.1402,18/03/2020 16:00,Broken clouds,66
Banjarnegara,Jawa Tengah,Kabupaten Banjarnegara,Banjarnegara,Indonesia,-7.39611,109.69611,18/03/2020 16:00,Rain,92
Purwokerto,Jawa Tengah,Kabupaten Banyumas,Banyumas,Indonesia,-7.42139,109.23444,18/03/2020 16:00,Rain,89
Batang,Jawa Tengah,Kabupaten Batang,Batang,Indonesia,-6.4846,110.7083,18/03/2020 16:00,Scattered clouds,74
Blora,Jawa Tengah,Kabupaten Blora,Blora,Indonesia,-6.9698,111.4186,18/03/2020 16:00,Broken clouds,74
Boyolali,Jawa Tengah,Kabupaten Boyolali,Boyolali,Indonesia,-7.53306,110.59583,18/03/2020 16:00,Rain,74
Cilacap,Jawa Tengah,Kabupaten Cilacap,Cilacap,Indonesia,-7.72639,109.00944,18/03/2020 16:00,Rain,89
Demak,Jawa Tengah,Kabupaten Demak,Demak,Indonesia,-6.8909,110.6396,18/03/2020 16:00,Scattered clouds,74
Purwodadi,Jawa Tengah,Kabupaten Grobogan,Grobogan,Indonesia,-7.0868,110.9158,18/03/2020 16:00,Scattered clouds,74
Jepara,Jawa Tengah,Kabupaten Jepara,Jepara,Indonesia,-6.5924,110.671,18/03/2020 16:00,Scattered clouds,74
Karanganyar,Jawa Tengah,Kabupaten Karanganyar,Karanganyar,Indonesia,-7.59833,110.94444,18/03/2020 16:00,Rain,74
Kebumen,Jawa Tengah,Kabupaten Kebumen,Kebumen,Indonesia,-7.66861,109.65361,18/03/2020 16:00,Rain,92
Kendal,Jawa Tengah,Kabupaten Kendal,Kendal,Indonesia,-6.9213,110.2022,18/03/2020 16:00,Scattered clouds,74
Klaten,Jawa Tengah,Kabupaten Klaten,Klaten,Indonesia,-7.70583,110.60639,18/03/2020 16:00,Rain,74
Kudus,Jawa Tengah,Kabupaten Kudus,Kudus,Indonesia,-6.8048,110.8405,18/03/2020 16:00,Scattered clouds,74
Pati,Jawa Tengah,Kabupaten Pati,Pati,Indonesia,-6.7559,111.038,18/03/2020 16:00,Rain,73
Kajen,Jawa Tengah,Kabupaten Pekalongan,Pekalongan,Indonesia,-7.0324,109.5773,18/03/2020 16:00,Rain,71
Pemalang,Jawa Tengah,Kabupaten Pemalang,Pemalang,Indonesia,-6.89193,109.38263,18/03/2020 16:00,Rain,71
Purbalingga,Jawa Tengah,Kabupaten Purbalingga,Purbalingga,Indonesia,-7.38806,109.36389,18/03/2020 16:00,Rain,92
Purworejo,Jawa Tengah,Kabupaten Purworejo,Purworejo,Indonesia,-7.71139,110.01028,18/03/2020 16:00,Rain,95
Rembang,Jawa Tengah,Kabupaten Rembang,Rembang,Indonesia,-6.707,111.3498,18/03/2020 16:00,Broken clouds,69
Ungaran,Jawa Tengah,Kabupaten Semarang,Semarang,Indonesia,-7.13972,110.405,18/03/2020 16:00,Scattered clouds,74
Sragen,Jawa Tengah,Kabupaten Sragen,Sragen,Indonesia,-7.42639,111.02222,18/03/2020 16:00,Rain,74
Sukoharjo,Jawa Tengah,Kabupaten Sukoharjo,Sukoharjo,Indonesia,-7.6725,110.83806,18/03/2020 16:00,Rain,74
Slawi,Jawa Tengah,Kabupaten Tegal,Tegal,Indonesia,-6.9816,109.1407,18/03/2020 16:00,Broken clouds,66
Temanggung,Jawa Tengah,Kabupaten Temanggung,Temanggung,Indonesia,-7.31917,110.19278,18/03/2020 16:00,Scattered clouds,74
Wonogiri,Jawa Tengah,Kabupaten Wonogiri,Wonogiri,Indonesia,-7.81444,110.92056,18/03/2020 16:00,Rain,74
Wonosobo,Jawa Tengah,Kabupaten Wonosobo,Wonosobo,Indonesia,-7.35889,109.90306,18/03/2020 16:00,Scattered clouds,74
Ngasem,Jawa Timur,Kabupaten Kediri,Kediri,Indonesia,-7.80583,112.04083,18/03/2020 16:00,Rain,92
Caruban,Jawa Timur,Kabupaten Madiun,Madiun,Indonesia,-7.5447,111.6566,18/03/2020 16:00,Rain,86
Mojosari,Jawa Timur,Kabupaten Mojokerto,Mojokerto,Indonesia,-7.5194,112.5597,18/03/2020 16:00,Rain,83
Bangil,Jawa Timur,Kabupaten Pasuruan,Pasuruan,Indonesia,-7.59939,112.8186,18/03/2020 16:00,Rain,73
Batu,Jawa Timur,Kota Batu,Batu,Indonesia,-7.87,112.52833,18/03/2020 16:00,Rain,97
Blitar,Jawa Timur,Kota Blitar,Blitar,Indonesia,-8.0983,112.1681,18/03/2020 16:00,Rain,92
Kediri,Jawa Timur,Kota Kediri,Kediri,Indonesia,-7.81667,112.01667,18/03/2020 16:00,Rain,92
Madiun,Jawa Timur,Kota Madiun,Madiun,Indonesia,-7.6298,111.5239,18/03/2020 16:00,Rain,86
Malang,Jawa Timur,Kota Malang,Malang,Indonesia,-7.9797,112.6304,18/03/2020 05:00,Rain,97
Mojokerto,Jawa Timur,Kota Mojokerto,Mojokerto,Indonesia,-7.4664,112.4338,18/03/2020 16:00,Rain,83
Pasuruan,Jawa Timur,Kota Pasuruan,Pasuruan,Indonesia,-7.6453,112.9075,18/03/2020 16:00,Rain,73
Probolinggo,Jawa Timur,Kota Probolinggo,Probolinggo,Indonesia,-7.7543,113.2159,18/03/2020 16:00,Rain,94
Surabaya,Jawa Timur,Kota Surabaya,Surabaya,Indonesia,-7.2800904,112.7946058,18/03/2020 17:00,Rain,73
Bangkalan,Jawa Timur,Kabupaten Bangkalan,Bangkalan,Indonesia,-7.0455,112.7351,18/03/2020 16:00,Broken clouds,71
Banyuwangi,Jawa Timur,Kabupaten Banyuwangi,Banyuwangi,Indonesia,-8.2325,114.35755,18/03/2020 16:00,Rain,77
Bojonegoro,Jawa Timur,Kabupaten Bojonegoro,Bojonegoro,Indonesia,-7.1502,111.8817,18/03/2020 16:00,Broken clouds,73
Bondowoso,Jawa Timur,Kabupaten Bondowoso,Bondowoso,Indonesia,-7.91346,113.82145,18/03/2020 16:00,Rain,89
Gresik,Jawa Timur,Kabupaten Gresik,Gresik,Indonesia,-7.15389,112.65611,18/03/2020 16:00,Broken clouds,71
Jember,Jawa Timur,Kabupaten Jember,Jember,Indonesia,-8.17211,113.69953,18/03/2020 16:00,Rain,94
Jombang,Jawa Timur,Kabupaten Jombang,Jombang,Indonesia,-7.54595,112.23307,18/03/2020 16:00,Rain,85
Lamongan,Jawa Timur,Kabupaten Lamongan,Lamongan,Indonesia,-7.11667,112.41667,18/03/2020 16:00,Broken clouds,71
Lumajang,Jawa Timur,Kabupaten Lumajang,Lumajang,Indonesia,-8.1335,113.2248,18/03/2020 16:00,Rain,94
Magetan,Jawa Timur,Kabupaten Magetan,Magetan,Indonesia,-7.65667,111.33139,18/03/2020 16:00,Rain,74
Kepanjen,Jawa Timur,Kabupaten Malang,Malang,Indonesia,-8.1303,112.5727,18/03/2020 16:00,Rain,97
Nganjuk,Jawa Timur,Kabupaten Nganjuk,Nganjuk,Indonesia,-7.6051,111.9035,18/03/2020 16:00,Rain,85
Pacitan,Jawa Timur,Kabupaten Pacitan,Pacitan,Indonesia,-8.19389,111.10333,18/03/2020 16:00,Rain,91
Pamekasan,Jawa Timur,Kabupaten Pamekasan,Pamekasan,Indonesia,-7.1568,113.4746,18/03/2020 16:00,Rain,76
Ponorogo,Jawa Timur,Kabupaten Ponorogo,Ponorogo,Indonesia,-7.8685,111.462,18/03/2020 16:00,Rain,93
Kraksaan,Jawa Timur,Kabupaten Probolinggo,Probolinggo,Indonesia,-7.75845,113.39624,18/03/2020 16:00,Rain,94
Sampang,Jawa Timur,Kabupaten Sampang,Sampang,Indonesia,-7.1872,113.2394,18/03/2020 16:00,Rain,78
Sidoarjo,Jawa Timur,Kabupaten Sidoarjo,Sidoarjo,Indonesia,-7.4478,112.7183,18/03/2020 16:00,Rain,83
Situbondo,Jawa Timur,Kabupaten Situbondo,Situbondo,Indonesia,-7.70623,114.00976,18/03/2020 16:00,Broken clouds,70
Sumenep,Jawa Timur,Kabupaten Sumenep,Sumenep,Indonesia,-7.01667,113.86667,18/03/2020 16:00,Broken clouds,71
Trenggalek,Jawa Timur,Kabupaten Trenggalek,Trenggalek,Indonesia,-8.0764,111.70641,18/03/2020 16:00,Rain,93
Tuban,Jawa Timur,Kabupaten Tuban,Tuban,Indonesia,-6.8976,112.0649,18/03/2020 16:00,Broken clouds,73
Tulungagung,Jawa Timur,Kabupaten Tulungagung,Tulungagung,Indonesia,-8.0657,111.9025,18/03/2020 16:00,Rain,92
Singkawang,Kalimantan Barat,Kota Singkawang,Singkawang,Indonesia,0.90925,108.98463,18/03/2020 16:00,Rain,84
Bengkayang,Kalimantan Barat,Kabupaten Bengkayang,Bengkayang,Indonesia,0.83194,109.43589,18/03/2020 16:00,Rain,95
Putussibau,Kalimantan Barat,Kabupaten Kapuas Hulu,Kapuas Hulu,Indonesia,0.83333,112.93333,18/03/2020 16:00,Rain,78
Sukadana,Kalimantan Barat,Kabupaten Kayong Utara,Kayong Utara,Indonesia,-1.25,109.95,18/03/2020 16:00,Broken clouds,71
Ketapang,Kalimantan Barat,Kabupaten Ketapang,Ketapang,Indonesia,-1.83862,109.97728,18/03/2020 16:00,Broken clouds,73
Sungai Raya,Kalimantan Barat,Kabupaten Kubu Raya,Kubu Raya,Indonesia,0.7,108.9,18/03/2020 16:00,Rain,86
Ngabang,Kalimantan Barat,Kabupaten Landak,Landak,Indonesia,0.38333,109.95,18/03/2020 16:00,Rain,92
Nangah Pinoh,Kalimantan Barat,Kabupaten Melawi,Melawi,Indonesia,-0.33333,111.73333,18/03/2020 16:00,Rain,95
Mempawah,Kalimantan Barat,Kabupaten Mempawah,Mempawah,Indonesia,0.37102,108.97013,18/03/2020 16:00,Rain,86
Sambas,Kalimantan Barat,Kabupaten Sambas,Sambas,Indonesia,1.33333,109.25,18/03/2020 16:00,Rain,88
Sanggau,Kalimantan Barat,Kabupaten Sanggau,Sanggau,Indonesia,0.13333,110.6,18/03/2020 16:00,Rain,94
Sekadau,Kalimantan Barat,Kabupaten Sekadau,Sekadau,Indonesia,0.01667,110.9,18/03/2020 16:00,Rain,93
Sintang,Kalimantan Barat,Kabupaten Sintang,Sintang,Indonesia,0.06667,111.5,18/03/2020 16:00,Rain,87
Banjarbaru,Kalimantan Selatan,Kota Banjarbaru,Banjarbaru,Indonesia,-3.4572422,114.8103181,18/03/2020 16:00,Broken clouds,72
Banjarmasin,Kalimantan Selatan,Kota Banjarmasin,Banjarmasin,Indonesia,-3.31987,114.59075,18/03/2020 07:00,Broken clouds,65
Paringin,Kalimantan Selatan,Kabupaten Balangan,Balangan,Indonesia,-2.3357,115.4749,18/03/2020 16:00,Rain,55
Martapura,Kalimantan Selatan,Kabupaten Banjar,Banjar,Indonesia,-3.4109,114.8642,18/03/2020 16:00,Broken clouds,72
Marabahan,Kalimantan Selatan,Kabupaten Barito Kuala,Barito Kuala,Indonesia,-3.0136,114.7687,18/03/2020 16:00,Scattered clouds,50
Kandangan,Kalimantan Selatan,Kabupaten Hulu Sungai Selatan,Hulu Sungai Selatan,Indonesia,-2.7837,115.2772,18/03/2020 16:00,Rain,87
Barabai,Kalimantan Selatan,Kabupaten Hulu Sungai Tengah,Hulu Sungai Tengah,Indonesia,-2.58333,115.38333,18/03/2020 16:00,Rain,55
Amuntai,Kalimantan Selatan,Kabupaten Hulu Sungai Utara,Hulu Sungai Utara,Indonesia,-2.41773,115.24941,18/03/2020 16:00,Rain,55
Tanjung,Kalimantan Selatan,Kabupaten Tabalong,Tabalong,Indonesia,-2.1709,115.4077,18/03/2020 16:00,Rain,69
Batulicin,Kalimantan Selatan,Kabupaten Tanah Bumbu,Tanah Bumbu,Indonesia,-3.42022,116.00611,18/03/2020 16:00,Broken clouds,67
Pelaihari,Kalimantan Selatan,Kabupaten Tanah Laut,Tanah Laut,Indonesia,-3.7987,114.7788,18/03/2020 16:00,Rain,78
Rantau,Kalimantan Selatan,Kabupaten Tapin,Tapin,Indonesia,-2.9334,115.1621,18/03/2020 16:00,Scattered clouds,50
Tamiang Layang,Kalimantan Tengah,Kabupaten Barito Timur,Barito Timur,Indonesia,-2.1236,115.1958,18/03/2020 16:00,Broken clouds,51
Puruk Cahu,Kalimantan Tengah,Kabupaten Murung Raya,Murung Raya,Indonesia,-0.58333,114.58333,18/03/2020 16:00,Broken clouds,51
Palangkaraya,Kalimantan Tengah,Kota Palangka Raya,Palangka Raya,Indonesia,-2.2161048,113.913977,18/03/2020 07:00,Broken clouds,48
Buntok,Kalimantan Tengah,Kabupaten Barito Selatan,Barito Selatan,Indonesia,-3.55,114.767,18/03/2020 16:00,Broken clouds,72
Muara Teweh,Kalimantan Tengah,Kabupaten Barito Utara,Barito Utara,Indonesia,-0.9403,114.8939,18/03/2020 16:00,Broken clouds,48
Kualakapuas,Kalimantan Tengah,Kabupaten Kapuas,Kapuas,Indonesia,-3.00913,114.38759,18/03/2020 16:00,Scattered clouds,49
Pangkalan Bun,Kalimantan Tengah,Kabupaten Kotawaringin Barat,Kotawaringin Barat,Indonesia,-2.688962,111.622398,18/03/2020 16:00,Broken clouds,88
Sampit,Kalimantan Tengah,Kabupaten Kotawaringin Timur,Kotawaringin Timur,Indonesia,-2.5315,112.9496,18/03/2020 16:00,Broken clouds,56
Nanga Bulik,Kalimantan Tengah,Kabupaten Lamandau,Lamandau,Indonesia,-2.1624,111.4885,18/03/2020 16:00,Rain,94
Pulang Pisau,Kalimantan Tengah,Kabupaten Pulang Pisau,Pulang Pisau,Indonesia,-2.7671,114.2406,18/03/2020 16:00,Broken clouds,50
Kuala Pembuang,Kalimantan Tengah,Kabupaten Seruyan,Seruyan,Indonesia,-3.39228,112.55049,18/03/2020 16:00,Rain,71
Ujoh Bilang,Kalimantan Timur,Kabupaten Mahakam Ulu,Mahakam Ulu,Indonesia,0.55,115.25,18/03/2020 16:00,Rain,56
Tana Paser,Kalimantan Timur,Kabupaten Paser,Paser,Indonesia,-1.9051,116.1913,18/03/2020 16:00,Rain,90
Balikpapan,Kalimantan Timur,Kota Balikpapan,Balikpapan,Indonesia,-1.26753,116.82887,18/03/2020 16:00,Few clouds,66
Bontang,Kalimantan Timur,Kota Bontang,Bontang,Indonesia,0.1324,117.4854,18/03/2020 16:00,Scattered clouds,76
Samarinda,Kalimantan Timur,Kota Samarinda,Samarinda,Indonesia,-0.4948232,117.1436154,18/03/2020 16:00,Few clouds,55
Sendawar,Kalimantan Timur,Kabupaten Kutai Barat,Kutai Barat,Indonesia,-0.23639,115.69472,18/03/2020 16:00,Broken clouds,50
Sangatta,Kalimantan Timur,Kabupaten Kutai Timur,Kutai Timur,Indonesia,0.5049,117.5279,18/03/2020 16:00,Rain,73
Penajam,Kalimantan Timur,Kabupaten Penajam Paser Utara,Penajam Paser Utara,Indonesia,-1.24919,116.76968,18/03/2020 16:00,Few clouds,66
Tanjung Selor,Kalimantan Utara,Kabupaten Bulungan,Bulungan,Indonesia,2.8375,117.36528,18/03/2020 16:00,Clear sky,74
Tarakan,Kalimantan Utara,Kota Tarakan,Tarakan,Indonesia,3.31332,117.59152,18/03/2020 16:00,Clear sky,72
Malinau,Kalimantan Utara,Kabupaten Malinau,Malinau,Indonesia,3.58855,116.62391,18/03/2020 16:00,Rain,60
